Event	ID	Name			Wwise Object Path	Notes
	734550643	Ambience_Town_Park			\Default Work Unit\Ambience_Town_Park	
	1866025847	Footstep			\Default Work Unit\Footstep	

Modulator Time	ID	Name			Wwise Object Path	Notes
	552110856	Modulator Time (Custom)				

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	19133578	Footstep Grass 9	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\ESE - Foot Step - Grass 16_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps_Grass\Footstep Grass 9		83138
	148144528	Footstep Grass 2	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\ESE - Foot Step - Grass 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps_Grass\Footstep Grass 2		79520
	163859434	Footstep Grass 3	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\ESE - Foot Step - Grass 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps_Grass\Footstep Grass 3		73350
	185266432	Woodland_Birds_NoWind	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\Woodland_Birds_NoWind_SomeWater_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Woodland_Birds_NoWind		31701372
	312518574	Footstep Grass 5	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\ESE - Foot Step - Grass 8_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps_Grass\Footstep Grass 5		60022
	490475747	Footstep Grass 8	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\ESE - Foot Step - Grass 13_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps_Grass\Footstep Grass 8		73218
	571823361	Footstep Grass 6	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\ESE - Foot Step - Grass 9_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps_Grass\Footstep Grass 6		74846
	785477964	Footstep Grass 1	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\ESE - Foot Step - Grass 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps_Grass\Footstep Grass 1		72228
	864178675	Footstep Grass 4	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\ESE - Foot Step - Grass 4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps_Grass\Footstep Grass 4		64098
	978660191	City_Ambience	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\City Wind, Leaves, Distant Traffic  _Stereo (LR) _10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\City_Ambience		26332676
	1051516199	Footstep Grass 7	D:\Documents\GitHub\Zurlough\Zurloughwwise\Zurlough\Zurlough_WwiseProject\.cache\Windows\SFX\ESE - Foot Step - Grass 10_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps_Grass\Footstep Grass 7		72082

